,品目,,出し方,出し方のポイント等
あ,アコーディオンドア,,粗大ごみ,
あ,アコーディオンフェンス,,粗大ごみ,
あ,麻ひも,,燃やすごみ,
あ,葦,,燃やすごみ,
あ,足蹴り自転車,,粗大ごみ,
あ,足蹴り乗用玩具(おもちゃ車),,粗大ごみ,プラスチック製・木製で50cm未満のものは燃やすごみへ
あ,足ひれ(フィン),,燃やすごみ,50cm以上のものは粗大ごみへ
あ,足拭きマット,,燃やすごみ,珪藻土製品で50㎝未満のものは燃えないごみ、50㎝以上のものは粗大ごみへ。 ただし、石綿(アスベスト)含有の珪藻土製品は、市では収集できません。回収方法等については、販売店・メーカーへお問合せください。詳しくは 市ホームページ へ。
あ,汗取りパッド,,燃やすごみ,
あ,汗取りマット,,燃やすごみ,
あ,アタッシュケース(金属製),,粗大ごみ,革製で50㎝未満のものは燃やすごみへ。金属製で30㎝未満のものは小さな金属類へ
あ,圧縮袋,,燃やすごみ,
あ,厚紙,,古紙(雑誌・その他の紙）,
あ,アトマイザー(香水噴霧器)のキャップ・ノズル,,プラスチック製容器包装,ケースのみ(中身なし)を購入した場合は燃やすごみへ
あ,アトマイザー(香水噴霧器:金属製),,小さな金属類,
あ,アトマイザー(香水噴霧器:プラスチック製),,プラスチック製容器包装,ケースのみ(中身なし)を購入した場合は燃やすごみへ
あ,穴あけパンチ(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
あ,穴あけパンチ(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
あ,油紙,,古紙(雑誌・その他の紙）,
あ,あぶら取り紙,,燃やすごみ,未使用のものは古紙「雑誌・その他の紙」へ
あ,油引き,,燃やすごみ,持ち手がプラスチック製のもの。持ち手が金属製のものは小さな金属類へ
あ,雨合羽 あまがっぱ(ゴム・ビニール製),,燃やすごみ,
あ,雨戸,,粗大ごみ,
あ,雨どい,,粗大ごみ,50cm未満のものは燃やすごみへ
あ,編み機,,粗大ごみ,
あ,あみじゃくし,,小さな金属類,
あ,網戸,,粗大ごみ,
あ,網戸の網,,燃やすごみ,
あ,編み針,,燃やすごみ,金属製のものは、小さな金属類へ
あ,編み棒,,燃やすごみ,金属製のものは小さな金属類へ
あ,あめの棒,,燃やすごみ,
あ,アルコール検知器,◎,燃やすごみ,事業系で使用していたものは、事業系ごみで出す
あ,アルコールランプ(ガラス製),,燃えないごみ,金属製のものは小さな金属類へ。芯は燃やすごみへ。
あ,アルバム,,燃やすごみ,
あ,アルミ台,,粗大ごみ,
あ,アルミテープ,,燃やすごみ,
あ,アルミはく、アルミホイル,,燃やすごみ,
あ,アルミバッグ(カメラ・パソコン用),,粗大ごみ,30cm未満のものは小さな金属類へ
あ,アルミホイルの芯,,古紙(雑誌・その他の紙）,
あ,アルミボックス,,小さな金属類,30cm以上のものは粗大ごみ
あ,アルミマット,,燃やすごみ,折りたたんで50cm以上のものは粗大ごみへ
あ,アロマオイルの容器(ガラス製),,燃えないごみ,
あ,アロマオイルの容器(プラスチック製),,燃やすごみ,
あ,アロマキャンドルのビン,,燃えないごみ,
あ,アロマポット(陶器・ガラス製),,燃えないごみ,新聞紙等に包み品名を表示する。プラスチック製のものは燃やすごみへ
あ,アロマライト(ガラス・陶器製),,燃えないごみ,電球は外す(外せるものの場合)。
あ,泡立てネット,,燃やすごみ,
あ,泡立て器(電動:金属製),◎,小さな金属類,
あ,泡立て器(電動:プラスチック製),◎,燃やすごみ,外せる金属製のパーツは小さな金属類へ
あ,泡立て器(手動:プラスチック・シリコン製),,燃やすごみ,金属製のものは小さな金属類へ
あ,あんか・足温器,◎,燃やすごみ,金属製のものは小さな金属類へ
あ,アンクルウエイト,,燃やすごみ,重りを取り外しできる場合は、重りは小さな金属類へ
あ,アングル(鋼材),,粗大ごみ,30cm未満のものは小さな金属類
あ,安全帯,,燃やすごみ,事業で排出するものは、事業系ごみ
あ,安全チョッキ,,燃やすごみ,
あ,安全ピン,,小さな金属類,
あ,安定器(照明用),,小さな金属類,30cm以上のものは粗大ごみへ プラスチック製のものは燃やすごみへ
あ,アンテナ,,粗大ごみ,金属製で30cm未満は小さな金属類
あ,アンテナ基台(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
あ,アートパネル,,粗大ごみ,木・プラスチック製は50㎝未満のものは燃やすごみ、金属製は30㎝未満は小さな金属類
あ,アームスタンド,,小さな金属類,30㎝以上のものは粗大ごみへ
あ,アームバンド,,燃やすごみ,
あ,アルコール鮮度保持剤,,燃やすごみ,
い,イオン発生器,,燃やすごみ,50cm以上のものは粗大ごみへ
い,育毛剤(エアゾール缶),,スプレー缶,中身を使い切って 穴はあけない。キャップはプラスチック製容器包装へ。中身が出せなくなったものについては 収集事務所 に相談
い,育毛剤のびん(ガラスびん),,燃えないごみ,新聞紙等に包み品名を表示する
い,育毛剤(プラスチック容器),,プラスチック製容器包装,
い,い草上敷き,,粗大ごみ,畳んで50cm未満のものは燃やすごみへ
い,石臼,,粗大ごみ,50cm未満のものは燃えないごみへ 重量・サイズによっては収集できない場合があります。
い,石皿,,燃えないごみ,50cm以上のものは粗大ごみへ
い,衣装ケース,,粗大ごみ,木製・プラスチック製で50cm未満のものは燃やすごみへ。金属製で30cm未満のものは小さな金属類へ
い,椅子脚カバー,,燃やすごみ,
い,いす・座いす・応接用いす,,粗大ごみ,金属製以外で50cm未満のものは燃やすごみへ
い,椅子マット,,粗大ごみ,丸めて50cm未満になるものは燃やすごみへ
い,板目紙,,古紙(雑誌・その他の紙）,
い,一輪車,,粗大ごみ,
い,一升びん,,販売店または缶・びん・ペットボトル,
い,一升びんのフタ(上が金属、下がプラスチック製),,プラスチック製容器包装,分離可能であれば分けて金属部分は小さな金属類へ
い,一斗缶,,粗大ごみ,中身を使い切って。
い,糸くずフィルター,,燃やすごみ,
い,糸通し,,小さな金属類,プラスチック製のものは燃やすごみへ
い,糸巻き,,燃やすごみ,
い,井戸水用ポンプ,,粗大ごみ,30cm未満のものは小さな金属類へ
い,犬の鎖,,小さな金属類,
い,位牌,,燃やすごみ,
い,衣服,,古布,破れて使えないもの、綿入りの衣類は燃やすごみへ
い,鋳物,,小さな金属類,30cm以上のものは粗大ごみへ
い,イヤホン,◎,燃やすごみ,布製・プラスチック製のケースも燃やすごみへ。 ワイヤレスのものは充電池を抜いて。充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
い,イヤホンジャック(金属製),,小さな金属類,
い,イヤホンジャック(金属製以外),,燃やすごみ,
い,イヤホンマイク,◎,燃やすごみ,
い,イヤーピース,,燃やすごみ,
い,医療用コルセット,,燃やすごみ,
い,衣類カバー,,燃やすごみ,
い,衣類乾燥機,,家電リサイクル,出し方の詳細はリンクを参照ください
い,衣類購入時のカバー(プラスチック製),,プラスチック製容器包装,台紙・包装紙は古紙(雑誌・その他紙)へ
い,入れ歯,,燃やすごみ,金属製のものは小さな金属類へ
い,入れ歯ケース,,燃やすごみ,金属製のものは小さな金属類へ
い,色鉛筆ケース(金属製),,小さな金属類,紙製のものは古紙へ。布・ビニール製のものは燃やすごみへ。
い,印鑑,,燃やすごみ,
い,印鑑(石製),,燃えないごみ,
い,印鑑ケース,,燃やすごみ,金属製のものは小さな金属類へ
い,インクカートリッジ,,専用回収箱 または燃やすごみ,区役所・図書館・行政サービスコーナーなどにある回収箱をご利用ください。
い,インクジェット紙,,古紙(雑誌・その他の紙）,
い,インク瓶,,燃えないごみ,
い,インクフィルム,,燃やすごみ,
い,インクリボン,,燃やすごみ,
い,印刷機,,粗大ごみ,事業で排出するものは、事業系ごみ
い,印刷紙,,古紙(雑誌・その他の紙）,
い,印刷物,,古紙(雑誌・その他の紙）,
い,インシュレーター,,小さな金属類,プラスチック製品については燃やすごみへ
い,インスタントカメラ,,燃やすごみ,
い,インソール,,燃やすごみ,
い,インタークーラー,,粗大ごみ,30cm未満のものは小さな金属類へ
い,インターホン,,燃やすごみ,
い,インテリア小物(ガラス製・陶器製・石製),,燃えないごみ,新聞紙等に包み品名を表示する。 50㎝以上のものは粗大ごみへ
い,インテリア小物(金属製),,小さな金属類,30㎝以上のものは粗大ごみへ
い,インテリア小物(木製・プラスチック製),,燃やすごみ,50㎝以上のものは粗大ごみへ
い,インデックスシール,,燃やすごみ,
い,インラインスケート,,燃やすごみ,金属製のものは小さな金属類へ
い,飲料パック,,古紙（紙パック）,水洗いして切り開く。内側がアルミのものは燃やすごみへ
い,イーゼル,,粗大ごみ,50cm未満のものは燃やすごみへ
い,ETC車載機,◎,燃やすごみ,
う,ウィンカー,,燃やすごみ,
う,ウィンドーラジエーター,,粗大ごみ,
う,ウィール(スケートボード),,燃やすごみ,
う,ウエットティッシュの容器,,プラスチック製容器包装,
う,ウェブカメラ,◎,燃やすごみ,
う,ウェーダー,,燃やすごみ,
う,ウエイトベスト,,燃やすごみ,取り外しのできる重り(金属製)は小さな金属類へ
う,植木,,燃やすごみ,鉢からは抜く。50cm以上のものは粗大ごみ
う,植木鉢カバー,,燃やすごみ,
う,植木鉢カバー(金属製),,粗大ごみ,
う,植木鉢(素焼き、陶器製),,燃えないごみ,新聞紙等に包み品名を表示する。50cm以上のものは粗大ごみへ
う,植木鉢(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ。苗木等販売用の軟プラスチック製鉢はプラスチック製容器包装へ
う,ウエストポーチ,,燃やすごみ,
う,ウエットシート・ウエットティッシュ,,燃やすごみ,容器はプラスチック製容器包装へ
う,ウエットスーツ,,燃やすごみ,
う,ウォッシャー液のボトル,,プラスチック製容器包装,
う,ウォッシュボール,,燃やすごみ,
う,ウォータークーラー,,粗大ごみ,事業で排出するものは、事業系ごみ
う,ウォーターサーバー,,粗大ごみ,
う,ウォーターサーバーのボトル(ペットボトル),,販売店または缶・びん・ペットボトル,ペットマークを確認。プラマークのあるものはプラスチック製容器包装へ
う,ウォータージャグ(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
う,ウォータージャグ(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
う,ウォーターバッグ,,燃やすごみ,
う,ウォールポケット(布製・木製),,燃やすごみ,50cm以上のものは粗大ごみへ
う,ウォーターベッド,,粗大ごみ,水を抜いておく。抜けない場合は販売店等に相談。
う,浮き輪,,燃やすごみ,
う,浮き(釣り具),,燃やすごみ,
う,うさぎ小屋,,粗大ごみ,木・プラスチック製は50㎝未満のものは燃やすごみ、金属製で30㎝未満は小さな金属類
う,臼,,粗大ごみ,
う,うちわ,,燃やすごみ,
う,ウッドカーペット,,粗大ごみ,折りたたんで50㎝未満のものは燃やすごみへ
う,ウッドタイル,,燃やすごみ,50cm以上のものは粗大ごみへ
う,ウッドデッキ,,粗大ごみ,
う,ウッドパネル,,燃やすごみ,50㎝以上のものは粗大ごみへ
う,ウッドペレット,,燃やすごみ,
う,腕時計(ベルトが金属),◎,小さな金属類,
う,腕時計(ベルトが金属以外),◎,燃やすごみ,
う,雨量計(金属製),,小さな金属類,30㎝以上のものは粗大ごみへ
う,雨量計(プラスチック製),,燃やすごみ,
う,ウレタン,,燃やすごみ,50cm以上のものは粗大ごみへ
う,ウレタンチップ,,燃やすごみ,
う,ウレタンボード,,粗大ごみ,50cm未満のものは燃やすごみへ
う,ウレタンマット,,燃やすごみ,50cm以上のものは粗大ごみへ
う,ウロコ取り,,小さな金属類,プラスチック製は燃やすごみへ
う,ウロコとり(金属製),,小さな金属類,
う,運動着,,古布,
え,エアガン(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
え,エアガン(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
え,エアクリーナー(車用),,燃やすごみ,
え,エアコン,,家電リサイクル,出し方の詳細はリンクを参照ください
え,エアコン(ウインドタイプ),,家電リサイクル,
え,エアコンカバー・室外機カバー,,粗大ごみ,布・ビニール製のものは燃やすごみへ
え,エアコンダクトカバー,,粗大ごみ,
え,エアシート,,粗大ごみ,畳んで50cm未満のものは燃やすごみへ
え,エアゾール缶,,スプレー缶,中身を使い切って 穴はあけない。キャップはプラスチック製容器包装へ。中身が出せなくなったものについては 収集事務所 に相談
え,エアゾール式消火具,,スプレー缶,中身を使い切って 穴はあけない。キャップはプラスチック製容器包装へ。中身が出せなくなったものについては 収集事務所 に相談
え,エアフィルター,,燃やすごみ,金属製のものは小さな金属類へ
え,エアボード(ウィンタースポーツ用),,燃やすごみ,
え,エアポンプ(プラスチック製),,燃やすごみ,金属製のものは小さな金属類へ
え,エアマット・エアベッド,,燃やすごみ,空気を抜いて 畳んで50cm以上になるものは粗大ごみへ
え,エアロバイク,,粗大ごみ,
え,エアロバー(金属製),,小さな金属類,カーボン製のものは燃やすごみへ
え,エアロパーツ,,粗大ごみ,事業で取り外したものは事業系ごみとして出す。50センチ未満のものは燃やすごみへ
え,エアーブラシ,,小さな金属類,
え,エアーボード,,燃やすごみ,
え,ACアダプター,◎,燃やすごみ,
え,映像・音響機器,◎,粗大ごみ,プラスチック製で50㎝未満のものは燃やすごみへ。金属製で30㎝未満のものは小さな金属類へ
え,液晶保護シート,,燃やすごみ,
え,エキスパンダー,,小さな金属類,ゴム製・プラスチック製のものは燃やすごみへ
え,液体石けんのボトル(プラスチック製),,プラスチック製容器包装,空のボトルを商品として購入した場合は燃やすごみへ
え,液体石けんのボトル(ガラス製),,燃えないごみ,
え,液体石けんのボトル(金属製),,小さな金属類,
え,液体肥料のボトル,,プラスチック製容器包装,
え,エクササイズ用ポール(スポンジ・ウレタン製),,粗大ごみ,50cm未満のものは燃やすごみへ
え,エコバッグ,,燃やすごみ,布製のものは「古布」へ
え,エスプレッソマシーン,,燃やすごみ,50cm以上のものは粗大ごみへ
え,枝(せん定後の枝),,燃やすごみ,50cm未満にする。 50cm以上のものは粗大ごみへ
え,エッグスライサー(プラスチック製),,燃やすごみ,金属製のものは小さな金属類へ
え,Nゲージケース,,粗大ごみ,50cm未満のものは燃やすごみへ
え,絵具皿,,燃えないごみ,
え,絵の具チューブ(金属製),,小さな金属類,中身を使い切って
え,絵の具チューブ(プラスチック製),,プラスチック製容器包装,中身を使い切って
え,絵の具箱(紙製),,古紙(雑誌・その他の紙）,
え,絵の具箱(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
え,絵の具箱(木製),,燃やすごみ,50cm以上のものは粗大ごみへ
え,エバーフラワー,,燃えないごみ,
え,エビ・カニの殻,,燃やすごみ,
え,エフェクターケース・ボード,,粗大ごみ,木製・プラスチック製で50cm未満のものは燃やすごみへ
え,エフェクター(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
え,エフェクター(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
え,FMトランスミッター(車載用),◎,燃やすごみ,
え,MDプレーヤー(ポータブルタイプ),◎,小さな金属類,プラスチック製は燃やすごみへ
え,MDプレーヤー(据え置きタイプ),,小さな金属類,30㎝以上のものは粗大ごみへ。プラスチック製は燃やすごみへ
え,MD(ケースも含む),,燃やすごみ,
え,エリザベスカラー(傷口保護用),,燃やすごみ,
え,LED電球,,燃やすごみ,ガラス製は燃えないごみへ
え,LDディスク,,燃やすごみ,紙製のケースは古紙(雑誌・その他の紙)へ
え,エレクトリック・トローリング・モーター,,粗大ごみ,
え,エレクトーン,,粗大ごみ,
え,塩化ビニール管,,燃やすごみ,50cm以上のものは粗大ごみへ
え,塩化ビニールシート,,燃やすごみ,
え,園芸用支柱,,粗大ごみ,
え,園芸用吊りかご(金属製),,小さな金属類,30㎝以上のものは粗大ごみへ
え,園芸用吊りかご,,燃やすごみ,50㎝以上のものは粗大ごみへ
え,園芸用ネット,,燃やすごみ,
え,園芸用ビニールシート,,燃やすごみ,
え,園芸用ピック(金属製),,小さな金属類,30㎝以上は粗大ごみへ
え,園芸用ピック(木・プラスチック製),,燃やすごみ,50㎝以上は粗大ごみへ
え,エンジョイマット,,粗大ごみ,
え,エンジンオイル容器(プラスチック容器),,プラスチック製容器包装,
え,縁石,,粗大ごみ,50cm未満のものは燃えないごみへ
え,縁台,,粗大ごみ,
え,えんぴつ,,燃やすごみ,
え,鉛筆削り,,燃やすごみ,金属製のものは小さな金属類へ
え,円皮鍼,,燃やすごみ,針が出ないようにして出す(固いケースに入れるなど)。
え,AED(本体),,販売店へ相談,設置場所の登録・管理がされている為、販売店へ相談。参考: 厚生労働省ホームページ
え,AEDのパッド,,燃やすごみ,本体は販売店へ相談
え,AEDのバッテリー,,販売店か回収協力店,本体は販売店へ相談
え,AVスイッチ,,燃やすごみ,金属製のものは小さな金属類へ
お,オアシス(給水スポンジ),,燃やすごみ,
お,オイル吸着剤,,燃やすごみ,
お,オイルジョッキー,,燃やすごみ,金属製のものは小さな金属類へ
お,オイルスプレー(調理用),,燃やすごみ,金属製のものは小さな金属類 ガラス製のものは燃えないごみ
お,オイル時計(ガラス製),,燃えないごみ,電池が入っているものは抜く
お,オイル時計(プラスチック製),,燃やすごみ,電池が入っているものは抜く
お,オイルフィルター(車用オイルエレメント),,小さな金属類,
お,オイルボトル(ガラス製),,燃えないごみ,
お,オイルボトル(プラスチック製),,燃やすごみ,
お,オイルポット,,小さな金属類,陶器製のものは燃えないごみ。
お,オイルライター・ガスライター(金属製),,小さな金属類,中身を使い切って
お,応援バット,,燃やすごみ,50cm以上のものは粗大ごみへ
お,お菓子・ケーキなどの焼型(金属製),,小さな金属類,30㎝を越えるものは粗大ごみへ。シリコン製のものは燃やすごみへ
お,お菓子の缶(金属製),,缶・びん・ペットボトル,30㎝以上の缶は、粗大ごみへ。
お,お菓子の包み紙,,古紙(雑誌・その他の紙）,銀紙、及び食べ物やその油が付いているものは燃やすごみへ
お,お菓子の包み紙(銀紙),,燃やすごみ,
お,お菓子の袋(プラスチック製),,プラスチック製容器包装,銀色のものも含む。
お,お菓子の容器(紙製),,燃やすごみ,油汚れのついているものが対象。内袋などがあり、食品が付着していないものは古紙(雑誌・その他の紙)へ
お,おかま(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
お,オカリナ,,燃えないごみ,プラスチック製のものは燃やすごみへ
お,起き上がり小法師,,燃やすごみ,金属製のものは小さな金属類へ
お,置き鏡,,燃えないごみ,新聞紙等に包み品名を表示する。
お,置き床,,粗大ごみ,
お,おくるみ,,古布,洗濯して乾かしてから。汚れたり破れたりしたものは燃やすごみへ。
お,桶(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
お,桶(金属製以外),,燃やすごみ,50㎝以上のものは粗大ごみへ
お,お香,,燃やすごみ,
お,お香立て(金属製),,小さな金属類,
お,お香立て(陶器製),,燃えないごみ,
お,お香立て(木製),,燃やすごみ,
お,お座敷ワゴン,,粗大ごみ,50cm未満のものは燃やすごみへ
お,押入れシート,,燃やすごみ,
お,おしぼり,,燃やすごみ,布製のものは古布
お,おしぼり機,,粗大ごみ,
お,おしぼりケース,,燃やすごみ,
お,おしゃぶり,,燃やすごみ,
お,おしりふき,,燃やすごみ,
お,おしりふきウォーマー,,燃やすごみ,
お,おしりふきのケース,,プラスチック製容器包装,
お,オシロスコープ(金属製),,小さな金属類,30cm以上のものは粗大ごみへ プラスチック製のものは燃やすごみへ
お,お膳,,燃やすごみ,
お,おたま,,小さな金属類,プラスチック製は燃やすごみへ
お,お玉置き(プラスチック製),,燃やすごみ,陶器製は燃えないごみ、金属製は小さな金属類へ
お,落ち葉,,燃やすごみ,大量の場合は収集事務所に相談を。
お,お茶漬け(インスタント)の袋,,プラスチック製容器包装,紙製(紙マークのあるもの)は燃やすごみへ
お,お茶箱,,粗大ごみ,50cm未満のものは燃やすごみへ
お,お猪口,,燃えないごみ,
お,オットマン(足置き台),,燃やすごみ,50cm以上のものは粗大ごみへ
お,お手玉,,燃やすごみ,
お,お手拭き,,燃やすごみ,
お,お手拭きの包装フィルム,,プラスチック製容器包装,
お,おでんの容器,,プラスチック製容器包装,コンビニ等で販売しているおでんの容器
お,おとしふた(金属製),,小さな金属類,
お,おとしふた,,燃やすごみ,50cm以上のものは粗大ごみへ
お,お道具箱(紙製),,古紙(雑誌・その他の紙）,
お,お道具箱(プラスチック製),,燃やすごみ,
お,斧,,小さな金属類,刃の部分が30㎝以上のものは粗大ごみへ
お,おはじき(プラスチック製),,燃やすごみ,石・ガラス製のものは燃えないごみへ
お,お花紙,,古紙(雑誌・その他の紙）,
お,おひつ,,燃やすごみ,50cm以上のものは粗大ごみへ
お,お昼寝マット,,燃やすごみ,
お,帯飾り,,燃やすごみ,金属製のものは小さな金属類へ
お,帯締め,,燃やすごみ,
お,帯(着物),,古布,
お,お札(ふだ),,古紙(雑誌・その他の紙）,木製のものは燃やすごみへ。
お,お風呂ポスター,,燃やすごみ,
お,オブラート,,燃やすごみ,
お,お弁当カップ,,燃やすごみ,紙製で未使用のものは古紙(雑誌・その他の紙)へ
お,お弁当箱(金属製),,小さな金属類,
お,お弁当箱(プラスチック製),,燃やすごみ,
お,お弁当ピック,,燃やすごみ,
お,おぼん・トレー(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
お,おぼん・トレー(木製・プラスチック製),,燃やすごみ,ガラス製は燃えないごみへ 50㎝以上のものは粗大ごみへ
お,お守り(紙・布・木製),,燃やすごみ,
お,お守り(ガラス・陶器製),,燃えないごみ,
お,お守り(金属製),,小さな金属類,
お,おまる(金属製以外),,燃やすごみ,汚物はトイレに流して。50㎝以上のものは粗大ごみ
お,おまる(金属製),,小さな金属類,汚物はトイレに流して30cm以上のものは粗大ごみへ
お,おむつ入れ,,燃やすごみ,50cm以上のものは粗大ごみへ
お,おむつカバー(布製),,古布,洗って乾かしてから。汚れているものは燃やすごみへ
お,おむつ処理バケツ(金属製),,小さな金属類,30㎝以上のものは粗大ごみ
お,おむつ処理バケツ(金属製以外),,燃やすごみ,
お,おむつシート,,古布,布製以外は燃やすごみへ
お,お面,,燃やすごみ,50cm以上のものは粗大ごみへ
お,おもちゃ(金属製),,小さな金属類,電池式のものは電池を抜く。30cm以上のものは粗大ごみへ
お,おもちゃ箱,,粗大ごみ,金属製で30㎝未満のものは小さな金属類へ 金属製以外のもので50㎝未満のものは燃やすごみへ
お,おもちゃ(木製・プラスチック製),,燃やすごみ,電池式のものは電池を抜く。50cm以上のものは粗大ごみへ
お,おもり,,小さな金属類,30cm以上のものは粗大ごみへ
お,折り紙,,古紙(雑誌・その他の紙）,
お,折り紙ケース,,燃やすごみ,
お,折りたたみ椅子,,粗大ごみ,50cm未満のものは燃やすごみへ。金属製で30㎝未満のものは小さな金属類へ。
お,折りたたみテーブル・折りたたみチェアー,,粗大ごみ,金属製で30cm未満のものは小さな金属類へ。木製で50cm未満のものは燃やすごみへ
お,折りたたみベンチ,,粗大ごみ,金属製で30cm未満のものは小さな金属類へ
お,織物,,古布,
お,オルガン,,粗大ごみ,
お,オルゴール(金属製以外),,燃やすごみ,ガラス・陶器製のものは燃えないごみへ 50cm以上のものは粗大ごみへ
お,オルゴール(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
お,折れ戸,,粗大ごみ,
お,おろし器(金属製),,小さな金属類,
お,おろし器(セラミック製),,燃えないごみ,
お,おろし器(プラスチック製),,燃やすごみ,
お,お椀,,燃やすごみ,
お,音叉,,小さな金属類,
お,温水洗浄便座(自分で取り外したもののみ),,燃やすごみ,一番長い辺が50㎝以上のものは粗大ごみへ。 ただし、請負工事に伴い取り外したものは業者に処分を依頼する。
お,温泉たまご器・ゆでたまご器(プラスチック製),,燃やすごみ,金属製のものは小さな金属類へ
お,温熱治療器,,燃やすごみ,50cm以上のものは粗大ごみへ
お,おんぶひも,,燃やすごみ,
お,温風機,,粗大ごみ,プラスチック製で50cm未満のものは燃やすごみへ。金属製で30cm未満のものは小さな金属類へ
お,温冷庫,,家電リサイクル,対象外の製品もあるため、メーカーに確認
お,OHPフィルム,,燃やすごみ,
お,OAタップ,◎,燃やすごみ,
お,OAチェア,,粗大ごみ,
お,オーディオコンポ,,粗大ごみ,木・プラスチック製で50㎝未満のものは燃やすごみへ。金属製で30㎝未満のものは小さな金属類へ
お,オートバイ,,販売店へ相談,詳細は二輪車リサイクルシステムコールセンター050‐3000‐0727
お,オーナメント,,燃やすごみ,
お,オーブントースター,,粗大ごみ,金属製で30cm未満は小さな金属類
お,オーブン用トレイ,,小さな金属類,30cm以上のものは粗大ごみへ
お,オーブンレンジ,,粗大ごみ,
お,オール,,粗大ごみ,
お,折り込みちらし(新聞に入っているもの),,古紙（新聞）,新聞紙と一緒に出すことができます
か,絵画,,燃やすごみ,50cm以上のものは粗大ごみへ 紙だけになるものは古紙(雑誌・その他の紙)へ
か,貝殻,,燃やすごみ,
か,階段マット,,燃やすごみ,
か,懐中電灯(金属製),◎,小さな金属類,電池は抜く
か,懐中電灯(プラスチック製),◎,燃やすごみ,電池は抜く
か,懐中時計(金属製),◎,小さな金属類,プラスチック製のものは燃やすごみへ 電池は抜く。
か,回転台,,燃やすごみ,50cm以上のものは粗大ごみ、金属製で30cm未満のものは小さな金属類 30cm以上のものは粗大ごみ
か,掻い巻き布団,,燃やすごみ,
